,content,id,stems,edge_weights,prototypicality,cdf
40,Personalized billboards from companies that reflect changes in weather.,1143,"set([u'reflect', u'person', u'weather', u'billboard', u'compani', u'chang'])","[0.5, 0.5, 0.2, 1.0, 0.041666666666666664, 0.3333333333333333, 0.16666666666666666, 0.5, 0.04, 0.16666666666666666, 0.5, 0.04, 0.2, 0.07407407407407407, 0.041666666666666664]",0.4,"[0.0, 0.33333333333333331, 0.59999999999999998, 0.66666666666666663, 0.66666666666666663, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 1.0]"
41,use it as a billboard,1874,"set([u'billboard', u'use'])",[0.029411764705882353],0.8,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
42,can create interactive billboards or street signs,1984,"set([u'billboard', u'interact', u'street', u'creat', u'sign'])","[0.08333333333333333, 0.2, 0.1111111111111111, 0.2, 0.125, 0.08333333333333333, 0.125, 0.2, 1.0, 0.2]",0.7,"[0.0, 0.30000000000000004, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 1.0]"
43,Airplane draggable banner that can display anything,2004,"set([u'banner', u'airplan', u'draggabl', u'display', u'anyth'])","[1.0, 1.0, 0.05555555555555555, 1.0, 1.0, 0.05555555555555555, 1.0, 0.05555555555555555, 1.0, 0.05555555555555555]",0.7,"[0.0, 0.40000000000000002, 0.40000000000000002, 0.40000000000000002, 0.40000000000000002, 0.40000000000000002, 0.40000000000000002, 0.40000000000000002, 0.40000000000000002, 1.0]"
44,clothing for people who enjoy going to raves,263,"set([u'enjoy', u'cloth', u'rave', u'go', u'peopl'])","[0.045454545454545456, 0.5, 0.16666666666666666, 0.125, 0.047619047619047616, 0.08333333333333333, 0.037037037037037035, 0.2, 0.14285714285714285, 0.09090909090909091]",0.7,"[0.0, 0.5, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 1.0, 1.0, 1.0, 1.0, 1.0]"
45,t-shirts with built in fabric display. It can be used at kids parties for fun.,646,"set([u'use', u'built', u'parti', u'it', u'fabric', u'fun', u'display', u'kid'])","[0.03333333333333333, 0.03333333333333333, 0.125, 0.10810810810810811, 0.03333333333333333, 0.11627906976744186, 0.06060606060606061, 1.0, 0.16666666666666666, 0.09090909090909091, 1.0, 0.05555555555555555, 0.2, 0.16666666666666666, 0.09090909090909091, 1.0, 0.05555555555555555, 0.2, 0.0625, 0.16666666666666666, 0.043478260869565216, 0.2222222222222222, 0.09090909090909091, 0.2608695652173913, 0.06666666666666667, 0.05555555555555555, 0.2, 0.045454545454545456]",0.6,"[0.0, 0.5357142857142857, 0.8571428571428571, 0.89285714285714279, 0.89285714285714279, 0.89285714285714279, 0.89285714285714279, 0.89285714285714279, 0.89285714285714279, 1.0]"
46,fabric glasses. You can wear it anytime and enjoy your movies or soothing images.,665,"set([u'enjoy', u'anytim', u'fabric', u'movi', u'imag', u'glass', u'sooth', u'wear', u'you'])","[0.5, 0.08333333333333333, 0.2, 0.1, 0.5, 0.5, 0.3333333333333333, 0.14285714285714285, 0.09090909090909091, 0.25, 0.1111111111111111, 1.0, 1.0, 0.5, 0.16666666666666666, 0.15384615384615385, 0.17647058823529413, 0.09090909090909091, 0.09090909090909091, 0.08333333333333333, 0.0625, 0.08333333333333333, 0.25, 0.25, 0.2, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1, 0.07142857142857142, 1.0, 0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.14285714285714285]",0.4,"[0.0, 0.3888888888888889, 0.63888888888888884, 0.75, 0.75, 0.91666666666666663, 0.91666666666666663, 0.91666666666666663, 0.91666666666666663, 1.0]"
47,Synchronization of clothing for public displays. [e.g. the opening ceremony of a grand event or for sports competitions.],1383,"set([u'event', u'competit', u'synchron', u'display', u'ceremoni', u'cloth', u'grand', u'sport', u'open', u'public'])","[0.3333333333333333, 0.3333333333333333, 0.05, 0.3333333333333333, 0.043478260869565216, 0.3333333333333333, 0.4, 0.3333333333333333, 0.3333333333333333, 1.0, 0.05555555555555555, 1.0, 0.047619047619047616, 1.0, 0.25, 1.0, 1.0, 0.05555555555555555, 1.0, 0.047619047619047616, 1.0, 0.25, 1.0, 1.0, 0.05555555555555555, 0.08333333333333333, 0.05555555555555555, 0.047619047619047616, 0.05555555555555555, 0.05555555555555555, 0.047619047619047616, 1.0, 0.25, 1.0, 1.0, 0.047619047619047616, 0.08695652173913043, 0.047619047619047616, 0.047619047619047616, 0.25, 1.0, 1.0, 0.25, 0.25, 1.0]",0.6,"[0.0, 0.37777777777777777, 0.37777777777777777, 0.64444444444444449, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 0.66666666666666674, 1.0]"
48,Shirt shaped like a guitar perfect for strumming on the go.,1467,"set([u'perfect', u'shirt', u'guitar', u'shape', u'strum', u'go', u'like'])","[0.125, 0.5, 0.5, 0.5, 0.16666666666666666, 0.1111111111111111, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.09090909090909091, 0.07142857142857142, 1.0, 1.0, 0.2, 0.125, 1.0, 0.2, 0.125, 0.2, 0.125, 0.08333333333333333]",0.4,"[0.0, 0.19047619047619047, 0.71428571428571419, 0.71428571428571419, 0.71428571428571419, 0.85714285714285721, 0.85714285714285721, 0.85714285714285721, 0.85714285714285721, 1.0]"
49,More realistic Halloween costumers,1770,"set([u'realist', u'halloween', u'costum', u'more'])","[0.5, 0.5, 0.5, 1.0, 1.0, 1.0]",0.7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.5, 0.5, 1.0]"
50,Make bright vests that always glow for workers that work outside at night.,243,"set([u'vest', u'make', u'work', u'worker', u'alway', u'bright', u'outsid', u'night', u'glow'])","[0.07692307692307693, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.2, 1.0, 0.06666666666666667, 0.07692307692307693, 0.07692307692307693, 0.06666666666666667, 0.06666666666666667, 0.125, 0.07692307692307693, 0.3333333333333333, 0.3333333333333333, 0.2, 0.2, 0.14285714285714285, 0.3333333333333333, 1.0, 0.3333333333333333, 0.3333333333333333, 0.2, 1.0, 0.3333333333333333, 0.3333333333333333, 0.2, 1.0, 0.2, 0.14285714285714285, 0.3333333333333333, 0.14285714285714285, 0.3333333333333333, 0.2]",0.4,"[0.0, 0.19444444444444442, 0.5, 0.83333333333333326, 0.83333333333333326, 0.83333333333333326, 0.83333333333333326, 0.83333333333333326, 0.83333333333333326, 1.0]"
51,light up children at night so parents can see them,1264,"set([u'light', u'see', u'children', u'parent', u'night'])","[0.14285714285714285, 0.16666666666666666, 0.125, 0.375, 0.5, 0.25, 0.16666666666666666, 0.3333333333333333, 0.2, 0.14285714285714285]",0.5,"[0.0, 0.0, 0.59999999999999998, 0.80000000000000004, 0.90000000000000002, 1.0, 1.0, 1.0, 1.0, 1.0]"
52,Something to identify your child if he/she is lost or kidnapped. Like an alarm that goes off if the child goes off of an expected route to school or something. The clothing starts lighting up and grabs the attention of others.,1301,"set([u'school', u'identifi', u'like', u'lost', u'start', u'goe', u'light', u'someth', u'rout', u'cloth', u'other', u'expect', u'attent', u'child', u'grab', u'the', u'kidnap', u'alarm'])","[0.25, 0.1, 0.25, 0.3333333333333333, 0.3333333333333333, 0.125, 0.16666666666666666, 0.3333333333333333, 0.043478260869565216, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.3333333333333333, 0.2, 0.3333333333333333, 0.3333333333333333, 0.25, 1.0, 0.5, 0.5, 0.14285714285714285, 0.2, 0.5, 0.045454545454545456, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.25, 0.5, 0.5, 0.25, 0.125, 0.125, 0.07692307692307693, 0.09090909090909091, 0.125, 0.03571428571428571, 0.125, 0.125, 0.125, 0.1111111111111111, 0.125, 0.2222222222222222, 0.125, 0.125, 0.5, 0.5, 0.14285714285714285, 0.2, 0.5, 0.045454545454545456, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.25, 0.5, 0.5, 1.0, 0.16666666666666666, 0.25, 1.0, 0.047619047619047616, 1.0, 1.0, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 1.0, 0.16666666666666666, 0.25, 1.0, 0.047619047619047616, 1.0, 1.0, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 1.0, 0.1111111111111111, 0.16666666666666666, 0.038461538461538464, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.14285714285714285, 0.16666666666666666, 0.125, 0.16666666666666666, 0.16666666666666666, 0.25, 0.08695652173913043, 0.25, 0.25, 0.25, 0.2, 0.25, 0.16666666666666666, 0.25, 0.25, 0.047619047619047616, 1.0, 1.0, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 1.0, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.045454545454545456, 0.047619047619047616, 0.09090909090909091, 0.047619047619047616, 0.047619047619047616, 1.0, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 1.0, 0.5, 1.0, 0.3333333333333333, 1.0, 1.0, 0.5, 0.25, 0.5, 0.5, 0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 1.0]",0.4,"[0.0, 0.14379084967320263, 0.33986928104575165, 0.5816993464052288, 0.5816993464052288, 0.75816993464052285, 0.75816993464052285, 0.75816993464052285, 0.75816993464052285, 1.0]"
53,"Emergency applications that will cause the fabric to blink bright, noticeable colors when the wearer is in distress.",1600,"set([u'applic', u'fabric', u'color', u'notic', u'blink', u'caus', u'bright', u'emerg', u'wearer', u'distress'])","[0.09090909090909091, 0.125, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 0.05555555555555555, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.07692307692307693, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.125, 0.125, 0.125, 0.1, 0.125, 0.125, 0.125, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 1.0, 1.0, 1.0]",0.6,"[0.0, 0.22222222222222224, 0.37777777777777777, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 0.53333333333333344, 1.0]"
54,"Bike shorts that display a bright yellow line down the side. You could turn these on via wi-fi on your phone, and turn it off when you get to your destination.",1660,"set([u'short', u'phone', u'via', u'could', u'get', u'yellow', u'side', u'turn', u'bright', u'bike', u'you', u'line', u'destin', u'display'])","[0.25, 1.0, 0.08333333333333333, 0.5, 1.0, 1.0, 0.5, 0.3333333333333333, 1.0, 0.16666666666666666, 1.0, 1.0, 0.05555555555555555, 0.25, 0.06666666666666667, 0.2, 0.25, 0.25, 0.2, 0.16666666666666666, 0.25, 0.1111111111111111, 0.25, 0.25, 0.047619047619047616, 0.08333333333333333, 0.5, 1.0, 1.0, 0.5, 0.3333333333333333, 1.0, 0.16666666666666666, 1.0, 1.0, 0.05555555555555555, 0.07692307692307693, 0.08333333333333333, 0.08333333333333333, 0.07692307692307693, 0.07142857142857142, 0.08333333333333333, 0.125, 0.08333333333333333, 0.08333333333333333, 0.2, 0.5, 0.5, 0.3333333333333333, 0.25, 0.5, 0.14285714285714285, 0.5, 0.5, 0.05263157894736842, 1.0, 0.5, 0.3333333333333333, 1.0, 0.16666666666666666, 1.0, 1.0, 0.05555555555555555, 0.5, 0.3333333333333333, 1.0, 0.16666666666666666, 1.0, 1.0, 0.05555555555555555, 0.25, 0.5, 0.14285714285714285, 0.5, 0.5, 0.05263157894736842, 0.3333333333333333, 0.125, 0.3333333333333333, 0.3333333333333333, 0.05, 0.16666666666666666, 1.0, 1.0, 0.05555555555555555, 0.16666666666666666, 0.16666666666666666, 0.09090909090909091, 1.0, 0.05555555555555555, 0.05555555555555555]",0.4,"[0.0, 0.2637362637362638, 0.4285714285714286, 0.61538461538461542, 0.61538461538461542, 0.76923076923076927, 0.76923076923076927, 0.76923076923076927, 0.76923076923076927, 1.0]"
55,This could be great for joggers or people that work in high traffic areas to increase their safety and visibility.,1703,"set([u'great', u'safeti', u'area', u'jogger', u'peopl', u'could', u'work', u'high', u'traffic', u'thi', u'visibl', u'increas'])","[0.5, 0.3333333333333333, 0.5, 0.125, 0.07692307692307693, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 0.14285714285714285, 0.08333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 1.0, 0.5, 0.125, 0.07692307692307693, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.14285714285714285, 0.08333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 1.0, 1.0, 0.1875, 0.1111111111111111, 0.125, 0.2857142857142857, 0.125, 0.14285714285714285, 0.14285714285714285, 0.07142857142857142, 0.16666666666666666, 0.07692307692307693, 0.07692307692307693, 0.08333333333333333, 0.08333333333333333, 0.25, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 1.0]",0.4,"[0.0, 0.15151515151515149, 0.30303030303030304, 0.60606060606060608, 0.60606060606060608, 0.90909090909090906, 0.90909090909090906, 0.90909090909090906, 0.90909090909090906, 1.0]"
56,project your favorite logo on your clothes,139,"set([u'project', u'logo', u'favorit', u'cloth'])","[0.2, 0.25, 0.041666666666666664, 0.5, 0.09523809523809523, 0.047619047619047616]",0.4,"[0.0, 0.5, 0.66666666666666663, 0.83333333333333337, 0.83333333333333337, 1.0, 1.0, 1.0, 1.0, 1.0]"
57,"Put it on a shirt and have ""image changing"" clothing.",285,"set([u'put', u'chang', u'imag', u'shirt', u'cloth'])","[0.07692307692307693, 0.08333333333333333, 0.1, 0.13636363636363635, 0.06451612903225806, 0.03333333333333333, 0.21621621621621623, 0.14285714285714285, 0.07142857142857142, 0.07692307692307693]",0.7,"[0.0, 0.70000000000000007, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
58,you can have different colored shirts or pants very easily without needing to buy duplicates,308,"set([u'differ', u'buy', u'shirt', u'pant', u'color', u'easili', u'without', u'need', u'duplic'])","[0.125, 0.15384615384615385, 0.125, 0.06666666666666667, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.125, 0.14285714285714285, 1.0, 0.125, 0.5, 0.3333333333333333, 0.5, 1.0, 0.14285714285714285, 0.07142857142857142, 0.125, 0.1111111111111111, 0.2857142857142857, 0.14285714285714285, 0.125, 0.5, 0.3333333333333333, 0.5, 1.0, 0.1111111111111111, 0.1, 0.1111111111111111, 0.125, 0.25, 0.3333333333333333, 0.5, 0.25, 0.3333333333333333, 0.5]",0.4,"[0.0, 0.22222222222222221, 0.55555555555555558, 0.75, 0.75, 0.91666666666666663, 0.91666666666666663, 0.91666666666666663, 0.91666666666666663, 1.0]"
59,"Interchangeable Uniform (one outfit programmed for the division, FBI/SWAT etc without having to print different sets)",364,"set([u'differ', u'set', u'without', u'interchang', u'outfit', u'one', u'divis', u'etc', u'program', u'print', u'uniform'])","[0.1111111111111111, 0.2222222222222222, 0.1111111111111111, 0.125, 0.1111111111111111, 0.125, 0.2222222222222222, 0.25, 0.1, 0.125, 0.25, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.25, 0.3333333333333333, 0.25, 0.5, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.2, 0.25, 0.2, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.6666666666666666, 0.3333333333333333, 0.25, 0.5, 0.5, 1.0, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.5, 0.25, 0.3333333333333333, 0.25, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0, 0.25, 0.2, 0.3333333333333333, 0.25, 0.5, 0.3333333333333333]",0.4,"[0.0, 0.072727272727272724, 0.21818181818181817, 0.70909090909090911, 0.70909090909090911, 0.92727272727272725, 0.94545454545454544, 0.94545454545454544, 0.94545454545454544, 1.0]"
60,clothes that change color/pattern with emotion using the touch sensor,378,"set([u'use', u'emot', u'cloth', u'touch', u'chang', u'sensor'])","[0.03333333333333333, 0.13333333333333333, 0.08108108108108109, 0.058823529411764705, 0.03333333333333333, 0.047619047619047616, 0.1, 0.041666666666666664, 1.0, 0.10714285714285714, 0.21621621621621623, 0.047619047619047616, 0.0967741935483871, 0.1, 0.041666666666666664]",0.7,"[0.0, 0.79999999999999993, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 1.0]"
61,"Sports clothes that can change through out the year, showing your support for your team as a season progresses.",385,"set([u'show', u'season', u'support', u'team', u'cloth', u'year', u'progress', u'chang', u'sport'])","[0.1111111111111111, 0.125, 0.1111111111111111, 0.07407407407407407, 0.125, 0.125, 0.03225806451612903, 0.09090909090909091, 0.5, 0.3333333333333333, 0.09523809523809523, 0.5, 0.5, 0.08333333333333333, 0.2, 0.5, 0.047619047619047616, 1.0, 1.0, 0.041666666666666664, 0.25, 0.045454545454545456, 0.5, 0.5, 0.04, 0.5, 0.047619047619047616, 0.047619047619047616, 0.21621621621621623, 0.08695652173913043, 1.0, 0.041666666666666664, 0.25, 0.041666666666666664, 0.25, 0.037037037037037035]",0.4,"[0.0, 0.47222222222222221, 0.61111111111111105, 0.72222222222222221, 0.72222222222222221, 0.91666666666666663, 0.91666666666666663, 0.91666666666666663, 0.91666666666666663, 1.0]"
62,"Clothes that have interchangeable logos, etc.",552,"set([u'logo', u'cloth', u'etc', u'interchang'])","[0.09523809523809523, 0.25, 0.3333333333333333, 0.043478260869565216, 0.045454545454545456, 0.6666666666666666]",0.3,"[0.0, 0.5, 0.5, 0.83333333333333337, 0.83333333333333337, 0.83333333333333337, 1.0, 1.0, 1.0, 1.0]"
63,sports teams gear,633,"set([u'sport', u'gear', u'team'])","[0.25, 0.5, 0.5]",0.4,"[0.0, 0.0, 0.0, 0.33333333333333331, 0.33333333333333331, 1.0, 1.0, 1.0, 1.0, 1.0]"
64,"Put indicators of mood on clothing. If you don't want to be bothered, put something that indicates that.",1159,"set([u'mood', u'bother', u'indic', u'cloth', u'want', u'put', u'someth', u'if'])","[0.3333333333333333, 0.3333333333333333, 0.09090909090909091, 0.2, 0.16666666666666666, 0.16666666666666666, 0.25, 1.0, 0.047619047619047616, 0.3333333333333333, 0.25, 0.25, 0.5, 0.047619047619047616, 0.3333333333333333, 0.25, 0.25, 0.5, 0.09090909090909091, 0.13636363636363635, 0.08695652173913043, 0.045454545454545456, 0.4, 0.16666666666666666, 0.25, 0.14285714285714285, 0.2, 0.2]",0.5,"[0.0, 0.21428571428571425, 0.49999999999999994, 0.8571428571428571, 0.89285714285714279, 0.96428571428571419, 0.96428571428571419, 0.96428571428571419, 0.96428571428571419, 1.0]"
65,Use for people to design their own t-shirts.  People could create a design on a computer and then upload the image to the shirt.,1280,"set([u'use', u'comput', u'shirt', u'creat', u'peopl', u'could', u'upload', u'design', u'imag'])","[0.06666666666666667, 0.027777777777777776, 0.029411764705882353, 0.05714285714285714, 0.13513513513513514, 0.03333333333333333, 0.03333333333333333, 0.08333333333333333, 0.125, 0.16666666666666666, 0.125, 0.07692307692307693, 0.5, 0.5, 0.1, 0.2, 0.07692307692307693, 0.05555555555555555, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.09090909090909091, 0.13333333333333333, 0.2, 0.2, 0.07692307692307693, 0.1875, 0.14285714285714285, 0.14285714285714285, 0.23076923076923078, 0.08333333333333333, 0.08333333333333333, 0.23529411764705882, 1.0, 0.1111111111111111, 0.1111111111111111]",0.6,"[0.0, 0.47222222222222221, 0.86111111111111105, 0.91666666666666663, 0.91666666666666663, 0.97222222222222221, 0.97222222222222221, 0.97222222222222221, 0.97222222222222221, 1.0]"
66,a shirt that has a couple different patterns you can choose from to coordinate with your other clothes.,1310,"set([u'differ', u'shirt', u'coupl', u'cloth', u'pattern', u'coordin', u'choos'])","[0.15384615384615385, 0.125, 0.03571428571428571, 0.09090909090909091, 0.125, 0.125, 0.14285714285714285, 0.07692307692307693, 0.1, 0.14285714285714285, 0.14285714285714285, 0.047619047619047616, 0.25, 1.0, 1.0, 0.13636363636363635, 0.047619047619047616, 0.047619047619047616, 0.25, 0.25, 1.0]",0.4,"[0.0, 0.33333333333333331, 0.71428571428571419, 0.85714285714285721, 0.85714285714285721, 0.85714285714285721, 0.85714285714285721, 0.85714285714285721, 0.85714285714285721, 1.0]"
67,Ties that can change styles with the touch of a button.,1315,"set([u'touch', u'tie', u'chang', u'style', u'button'])","[0.09090909090909091, 0.0967741935483871, 0.1, 0.1, 0.04, 0.5, 0.5, 0.041666666666666664, 0.041666666666666664, 1.0]",0.4,"[0.0, 0.70000000000000007, 0.70000000000000007, 0.70000000000000007, 0.70000000000000007, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 1.0]"
68,"Wearable picture frames that change pictures the way digital frames do, except you can wear these.",1332,"set([u'digit', u'pictur', u'frame', u'except', u'wear', u'way', u'wearabl', u'chang'])","[0.3333333333333333, 0.3333333333333333, 1.0, 0.5, 0.5, 0.5, 0.041666666666666664, 0.5, 0.3333333333333333, 0.25, 0.25, 0.25, 0.038461538461538464, 0.3333333333333333, 0.25, 0.25, 0.25, 0.08, 0.5, 0.5, 0.5, 0.041666666666666664, 0.3333333333333333, 0.3333333333333333, 0.04, 0.3333333333333333, 0.04, 0.08333333333333333]",0.4,"[0.0, 0.25, 0.25, 0.71428571428571419, 0.71428571428571419, 0.96428571428571419, 0.96428571428571419, 0.96428571428571419, 0.96428571428571419, 1.0]"
69,You can create shirts with watches in the cuffs.,1369,"set([u'cuff', u'you', u'watch', u'shirt', u'creat'])","[0.16666666666666666, 0.5, 0.14285714285714285, 0.2, 0.14285714285714285, 0.08333333333333333, 0.1, 0.125, 0.16666666666666666, 0.2]",0.7,"[0.0, 0.20000000000000001, 0.90000000000000002, 0.90000000000000002, 0.90000000000000002, 1.0, 1.0, 1.0, 1.0, 1.0]"
70,night light pajamas,1614,"set([u'light', u'pajama', u'night'])","[0.16666666666666666, 0.375, 0.2]",0.5,"[0.0, 0.0, 0.66666666666666674, 0.66666666666666674, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
71,"Perfect clothes for a date, can change based on where you take your date and what's appropriate for the area.",1647,"set([u'perfect', u'appropri', u'area', u'cloth', u'base', u'take', u'date', u'chang'])","[0.3333333333333333, 0.3333333333333333, 0.045454545454545456, 0.16666666666666666, 0.3333333333333333, 0.5, 0.04, 0.3333333333333333, 0.045454545454545456, 0.16666666666666666, 0.3333333333333333, 0.5, 0.04, 0.045454545454545456, 0.16666666666666666, 0.3333333333333333, 0.5, 0.04, 0.04, 0.045454545454545456, 0.047619047619047616, 0.21621621621621623, 0.16666666666666666, 0.2, 0.16, 0.5, 0.04, 0.041666666666666664]",0.4,"[0.0, 0.39285714285714279, 0.64285714285714279, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0, 1.0, 1.0, 1.0]"
72,"Since it is made out of fabric, this could one day be used as some sort of fashion item where images and videos are displayed onto a person's clothing.",1653,"set([u'sort', u'use', u'made', u'cloth', u'fabric', u'display', u'person', u'onto', u'could', u'one', u'item', u'fashion', u'video', u'imag', u'sinc', u'day'])","[0.03333333333333333, 1.0, 0.047619047619047616, 0.09090909090909091, 0.05555555555555555, 0.5, 1.0, 0.08333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.1111111111111111, 1.0, 0.2, 0.03333333333333333, 0.13333333333333333, 0.10810810810810811, 0.11627906976744186, 0.03225806451612903, 0.03333333333333333, 0.13513513513513514, 0.03225806451612903, 0.03225806451612903, 0.06666666666666667, 0.06451612903225806, 0.08333333333333333, 0.03333333333333333, 0.029411764705882353, 0.047619047619047616, 0.09090909090909091, 0.05555555555555555, 0.5, 1.0, 0.08333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.1111111111111111, 1.0, 0.2, 0.03225806451612903, 0.08333333333333333, 0.045454545454545456, 0.047619047619047616, 0.1, 0.045454545454545456, 0.045454545454545456, 0.09523809523809523, 0.043478260869565216, 0.07142857142857142, 0.047619047619047616, 0.08333333333333333, 0.2608695652173913, 0.08333333333333333, 0.09090909090909091, 0.09523809523809523, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.17647058823529413, 0.09090909090909091, 0.06666666666666667, 0.05263157894736842, 0.05555555555555555, 0.2, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.16666666666666666, 0.17391304347826086, 0.05555555555555555, 0.045454545454545456, 0.5, 0.07692307692307693, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.1, 0.5, 0.16666666666666666, 0.08333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.1111111111111111, 1.0, 0.2, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07142857142857142, 0.23529411764705882, 0.08333333333333333, 0.0625, 0.3333333333333333, 0.3333333333333333, 0.25, 0.1, 0.5, 0.16666666666666666, 0.3333333333333333, 0.25, 0.1, 0.5, 0.16666666666666666, 0.25, 0.1, 0.5, 0.16666666666666666, 0.2, 0.3333333333333333, 0.14285714285714285, 0.1111111111111111, 0.07692307692307693, 0.2]",0.4,"[0.0, 0.53333333333333333, 0.68333333333333335, 0.81666666666666665, 0.81666666666666665, 0.94999999999999996, 0.94999999999999996, 0.94999999999999996, 0.94999999999999996, 1.0]"
73,Being able to change the patterns on your clothing to match your mood throughout the day,1654,"set([u'be', u'mood', u'pattern', u'abl', u'cloth', u'chang', u'throughout', u'day', u'match'])","[0.25, 0.2, 1.0, 0.09523809523809523, 0.04, 0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.25, 0.09090909090909091, 0.08, 0.3333333333333333, 0.14285714285714285, 0.3333333333333333, 0.2, 0.13636363636363635, 0.12, 0.25, 0.125, 0.25, 0.09523809523809523, 0.04, 0.5, 0.16666666666666666, 0.5, 0.21621621621621623, 0.047619047619047616, 0.08333333333333333, 0.047619047619047616, 0.041666666666666664, 0.11538461538461539, 0.041666666666666664, 0.2, 1.0, 0.2]",0.4,"[0.0, 0.30555555555555558, 0.66666666666666663, 0.83333333333333326, 0.83333333333333326, 0.94444444444444442, 0.94444444444444442, 0.94444444444444442, 0.94444444444444442, 1.0]"
74,Clothing that can be changed from casual to formal colors and patterns.,1976,"set([u'color', u'pattern', u'cloth', u'chang', u'casual', u'formal'])","[0.2, 0.07407407407407407, 0.10344827586206896, 0.125, 0.125, 0.13636363636363635, 0.12, 0.25, 0.25, 0.21621621621621623, 0.047619047619047616, 0.047619047619047616, 0.041666666666666664, 0.041666666666666664, 1.0]",0.6,"[0.0, 0.39999999999999997, 0.79999999999999993, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 0.93333333333333335, 1.0]"
